날짜,지점,강수량(mm),,,,,,,,,,,0
2018.12.24,115,0,,,,,,,,,,,
2018.12.25,115,,,,,,,,,,,,
2018.12.26,115,0,,,,,,,,,,,
2018.12.27,115,8.5,,,,,,,,,,,
2018.12.28,115,10.7,,,,,,,,,,,
2018.12.29,115,8.2,,,,,,,,,,,
2018.12.30,115,1.1,,,,,,,,,,,
2018.12.31,115,,,,,,,,,,,,
2019.1.1,115,0,,,,,,,,,,,
2019.1.2,115,0,,,,,,,,,,,
2019.1.3,115,,,,,,,,,,,,
2019.1.4,115,,,,,,,,,,,,
2019.1.5,115,5.9,,,,,,,,,,,
2019.1.6,115,0.8,,,,,,,,,,,
2019.1.7,115,,,,,,,,,,,,
2019.1.8,115,0.6,,,,,,,,,,,
2019.1.9,115,2.2,,,,,,,,,,,
2019.1.10,115,,,,,,,,,,,,
2019.1.11,115,0.3,,,,,,,,,,,
2019.1.12,115,12.6,,,,,,,,,,,
2019.1.13,115,5.8,,,,,,,,,,,
2019.1.14,115,2.4,,,,,,,,,,,
2019.1.15,115,1.9,,,,,,,,,,,
2019.1.16,115,0.9,,,,,,,,,,,
2019.1.17,115,,,,,,,,,,,,
2019.1.18,115,0,,,,,,,,,,,
2019.1.19,115,,,,,,,,,,,,
2019.1.20,115,1.9,,,,,,,,,,,
2019.1.21,115,0,,,,,,,,,,,
2019.1.22,115,0,,,,,,,,,,,
2019.1.23,115,,,,,,,,,,,,
2019.1.24,115,,,,,,,,,,,,
2019.1.25,115,16.5,,,,,,,,,,,
2019.1.26,115,0.3,,,,,,,,,,,
2019.1.27,115,,,,,,,,,,,,
2019.1.28,115,0,,,,,,,,,,,
2019.1.29,115,0,,,,,,,,,,,
2019.1.30,115,,,,,,,,,,,,
2019.1.31,115,5.1,,,,,,,,,,,
2019.2.1,115,1,,,,,,,,,,,
2019.2.2,115,,,,,,,,,,,,
2019.2.3,115,29.5,,,,,,,,,,,
2019.2.4,115,0.1,,,,,,,,,,,
2019.2.5,115,,,,,,,,,,,,
2019.2.6,115,,,,,,,,,,,,
2019.2.7,115,8.4,,,,,,,,,,,
2019.2.8,115,2.3,,,,,,,,,,,
2019.2.9,115,12.7,,,,,,,,,,,
2019.2.10,115,5.6,,,,,,,,,,,
2019.2.11,115,5.5,,,,,,,,,,,
2019.2.12,115,0,,,,,,,,,,,
2019.2.13,115,5.4,,,,,,,,,,,
2019.2.14,115,0,,,,,,,,,,,
2019.2.15,115,0.9,,,,,,,,,,,
2019.2.16,115,5.3,,,,,,,,,,,
2019.2.17,115,0,,,,,,,,,,,
2019.2.18,115,,,,,,,,,,,,
2019.2.19,115,18.1,,,,,,,,,,,
2019.2.20,115,0,,,,,,,,,,,
2019.2.21,115,,,,,,,,,,,,
2019.2.22,115,,,,,,,,,,,,
2019.2.23,115,0.4,,,,,,,,,,,
2019.2.24,115,,,,,,,,,,,,
2019.2.25,115,,,,,,,,,,,,
2019.2.26,115,0.1,,,,,,,,,,,
2019.2.27,115,,,,,,,,,,,,
2019.2.28,115,1.3,,,,,,,,,,,
2019.3.1,115,,,,,,,,,,,,
2019.3.2,115,,,,,,,,,,,,
2019.3.3,115,,,,,,,,,,,,
2019.3.4,115,,,,,,,,,,,,
2019.3.5,115,,,,,,,,,,,,
2019.3.6,115,0,,,,,,,,,,,
2019.3.7,115,,,,,,,,,,,,
2019.3.8,115,,,,,,,,,,,,
2019.3.9,115,,,,,,,,,,,,
2019.3.10,115,18.2,,,,,,,,,,,
2019.3.11,115,7,,,,,,,,,,,
2019.3.12,115,1.8,,,,,,,,,,,
2019.3.13,115,0,,,,,,,,,,,
2019.3.14,115,0,,,,,,,,,,,
2019.3.15,115,,,,,,,,,,,,
2019.3.16,115,0,,,,,,,,,,,
2019.3.17,115,7.1,,,,,,,,,,,
2019.3.18,115,,,,,,,,,,,,
2019.3.19,115,,,,,,,,,,,,
2019.3.20,115,3.7,,,,,,,,,,,
2019.3.21,115,5,,,,,,,,,,,
2019.3.22,115,0,,,,,,,,,,,
2019.3.23,115,5.3,,,,,,,,,,,
2019.3.24,115,0,,,,,,,,,,,
2019.3.25,115,,,,,,,,,,,,
2019.3.26,115,,,,,,,,,,,,
2019.3.27,115,,,,,,,,,,,,
2019.3.28,115,0.3,,,,,,,,,,,
2019.3.29,115,24.6,,,,,,,,,,,
2019.3.30,115,6.3,,,,,,,,,,,
2019.3.31,115,12,,,,,,,,,,,
2019.4.1,115,3.9,,,,,,,,,,,
2019.4.2,115,3.9,,,,,,,,,,,
2019.4.3,115,6.5,,,,,,,,,,,
2019.4.4,115,,,,,,,,,,,,
2019.4.5,115,,,,,,,,,,,,
2019.4.6,115,1.1,,,,,,,,,,,
2019.4.7,115,0,,,,,,,,,,,
2019.4.8,115,,,,,,,,,,,,
2019.4.9,115,3.8,,,,,,,,,,,
2019.4.10,115,19.3,,,,,,,,,,,
2019.4.11,115,,,,,,,,,,,,
2019.4.12,115,,,,,,,,,,,,
2019.4.13,115,,,,,,,,,,,,
2019.4.14,115,4.7,,,,,,,,,,,
2019.4.15,115,,,,,,,,,,,,
2019.4.16,115,,,,,,,,,,,,
2019.4.17,115,,,,,,,,,,,,
2019.4.18,115,,,,,,,,,,,,
2019.4.19,115,,,,,,,,,,,,
2019.4.20,115,,,,,,,,,,,,
2019.4.21,115,,,,,,,,,,,,
2019.4.22,115,,,,,,,,,,,,
2019.4.23,115,,,,,,,,,,,,
2019.4.24,115,19.9,,,,,,,,,,,
2019.4.25,115,5.5,,,,,,,,,,,
2019.4.26,115,4.3,,,,,,,,,,,
2019.4.27,115,,,,,,,,,,,,
2019.4.28,115,,,,,,,,,,,,
2019.4.29,115,3.5,,,,,,,,,,,
2019.4.30,115,,,,,,,,,,,,
2019.5.1,115,,,,,,,,,,,,
2019.5.2,115,,,,,,,,,,,,
2019.5.3,115,,,,,,,,,,,,
2019.5.4,115,,,,,,,,,,,,
2019.5.5,115,,,,,,,,,,,,
2019.5.6,115,0,,,,,,,,,,,
2019.5.7,115,,,,,,,,,,,,
2019.5.8,115,,,,,,,,,,,,
2019.5.9,115,,,,,,,,,,,,
2019.5.10,115,,,,,,,,,,,,
2019.5.11,115,,,,,,,,,,,,
2019.5.12,115,,,,,,,,,,,,
2019.5.13,115,,,,,,,,,,,,
2019.5.14,115,,,,,,,,,,,,
2019.5.15,115,,,,,,,,,,,,
2019.5.16,115,,,,,,,,,,,,
2019.5.17,115,,,,,,,,,,,,
2019.5.18,115,,,,,,,,,,,,
2019.5.19,115,1.7,,,,,,,,,,,
2019.5.20,115,5,,,,,,,,,,,
2019.5.21,115,,,,,,,,,,,,
2019.5.22,115,,,,,,,,,,,,
2019.5.23,115,,,,,,,,,,,,
2019.5.24,115,,,,,,,,,,,,
2019.5.25,115,,,,,,,,,,,,
2019.5.26,115,,,,,,,,,,,,
2019.5.27,115,11.6,,,,,,,,,,,
2019.5.28,115,,,,,,,,,,,,
2019.5.29,115,,,,,,,,,,,,
2019.5.30,115,0,,,,,,,,,,,
2019.5.31,115,0.7,,,,,,,,,,,
2019.6.1,115,,,,,,,,,,,,
2019.6.2,115,,,,,,,,,,,,
2019.6.3,115,,,,,,,,,,,,
2019.6.4,115,,,,,,,,,,,,
2019.6.5,115,,,,,,,,,,,,
2019.6.6,115,4.1,,,,,,,,,,,
2019.6.7,115,43.3,,,,,,,,,,,
2019.6.8,115,,,,,,,,,,,,
2019.6.9,115,,,,,,,,,,,,
2019.6.10,115,0.4,,,,,,,,,,,
2019.6.11,115,0,,,,,,,,,,,
2019.6.12,115,0,,,,,,,,,,,
2019.6.13,115,,,,,,,,,,,,
2019.6.14,115,0.6,,,,,,,,,,,
2019.6.15,115,18.2,,,,,,,,,,,
2019.6.16,115,0.9,,,,,,,,,,,
2019.6.17,115,0,,,,,,,,,,,
2019.6.18,115,0.2,,,,,,,,,,,
2019.6.19,115,0.1,,,,,,,,,,,
2019.6.20,115,,,,,,,,,,,,
2019.6.21,115,0,,,,,,,,,,,
2019.6.22,115,0,,,,,,,,,,,
2019.6.23,115,0,,,,,,,,,,,
2019.6.24,115,0,,,,,,,,,,,
2019.6.25,115,,,,,,,,,,,,
2019.6.26,115,14.8,,,,,,,,,,,
2019.6.27,115,147.4,,,,,,,,,,,
2019.6.28,115,,,,,,,,,,,,
2019.6.29,115,10.6,,,,,,,,,,,
2019.6.30,115,1.4,,,,,,,,,,,
2019.7.1,115,,,,,,,,,,,,
2019.7.2,115,,,,,,,,,,,,
2019.7.3,115,,,,,,,,,,,,
2019.7.4,115,,,,,,,,,,,,
2019.7.5,115,,,,,,,,,,,,
2019.7.6,115,,,,,,,,,,,,
2019.7.7,115,0,,,,,,,,,,,
2019.7.8,115,0,,,,,,,,,,,
2019.7.9,115,1.4,,,,,,,,,,,
2019.7.10,115,5.4,,,,,,,,,,,
2019.7.11,115,51.7,,,,,,,,,,,
2019.7.12,115,0,,,,,,,,,,,
2019.7.13,115,,,,,,,,,,,,
2019.7.14,115,,,,,,,,,,,,
2019.7.15,115,0.3,,,,,,,,,,,
2019.7.16,115,,,,,,,,,,,,
2019.7.17,115,,,,,,,,,,,,
2019.7.18,115,2.2,,,,,,,,,,,
2019.7.19,115,1.3,,,,,,,,,,,
2019.7.20,115,20.1,,,,,,,,,,,
2019.7.21,115,19.6,,,,,,,,,,,
2019.7.22,115,,,,,,,,,,,,
2019.7.23,115,,,,,,,,,,,,
2019.7.24,115,,,,,,,,,,,,
2019.7.25,115,,,,,,,,,,,,
2019.7.26,115,,,,,,,,,,,,
2019.7.27,115,3.7,,,,,,,,,,,
2019.7.28,115,,,,,,,,,,,,
2019.7.29,115,0.1,,,,,,,,,,,
2019.7.30,115,,,,,,,,,,,,
2019.7.31,115,,,,,,,,,,,,
2019.8.1,115,,,,,,,,,,,,
