raw,detail,clean_normalized,latitude,longitude,type
경상북도 울릉군 봉래길 310 정수장 옆,정수장 옆,경상북도 울릉군 봉래길 310,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 310 정수장 옆,정수장 옆,경상북도 울릉군 봉래길 310,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 310 정수장 옆,정수장 옆,경상북도 울릉군 봉래길 310,37.4942698,130.9058294,차대차
경상북도 울릉군 봉래길 310 정수장 옆,정수장 옆,경상북도 울릉군 봉래길 310,37.4942698,130.9058294,차대차
경상북도 울릉군 울릉순환로 393 의료원 엘리베이터 앞,의료원 엘리베이터 앞,경상북도 울릉군 울릉순환로 393,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 393 의료원 엘리베이터 앞,의료원 엘리베이터 앞,경상북도 울릉군 울릉순환로 393,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 173 저동여객선터미널 관광안내소옆주차장,저동여객선터미널 관광안내소옆주차장,경상북도 울릉군 울릉순환로 173,37.4652336,130.8394194,차량단독
경상북도 울릉군 울릉순환로 173 저동여객선터미널 관광안내소옆주차장,저동여객선터미널 관광안내소옆주차장,경상북도 울릉군 울릉순환로 173,37.4652336,130.8394194,차량단독
경상북도 울릉군 봉래1길 14 울릉숯불막창 앞,울릉숯불막창 앞,경상북도 울릉군 봉래1길 14,37.4915537,130.9099592,차량단독
경상북도 울릉군 봉래1길 14 울릉숯불막창 앞,울릉숯불막창 앞,경상북도 울릉군 봉래1길 14,37.4915537,130.9099592,차량단독
경상북도 울릉군 도동길 69 울릉회타운 앞,울릉회타운 앞,경상북도 울릉군 도동길 69,37.4840452,130.9044753,차량단독
경상북도 울릉군 도동길 69 울릉회타운 앞,울릉회타운 앞,경상북도 울릉군 도동길 69,37.4840452,130.9044753,차량단독
경상북도 울릉군 봉래1길 19-42 수협제빙냉동공장 앞 주차장,수협제빙냉동공장 앞 주차장,경상북도 울릉군 봉래1길 19-42,37.4915537,130.9099592,차량단독
경상북도 울릉군 봉래1길 19-42 수협제빙냉동공장 앞 주차장,수협제빙냉동공장 앞 주차장,경상북도 울릉군 봉래1길 19-42,37.4915537,130.9099592,차량단독
경상북도 울릉군 울릉순환로 164-4 저동해양파출소 뒤,저동해양파출소 뒤,경상북도 울릉군 울릉순환로 164-4,37.5217669,130.9095328,차량단독
경상북도 울릉군 남양길 29 남양2교 앞,남양2교 앞,경상북도 울릉군 남양길 29,37.4711237,130.8423359,차대차
경상북도 울릉군 남양길 29 남양2교 앞,남양2교 앞,경상북도 울릉군 남양길 29,37.4711237,130.8423359,차대차
경상북도 울릉군 울릉순환로 212-22 수협위판장,수협위판장,경상북도 울릉군 울릉순환로 212-22,37.5217669,130.9095328,차량단독
경상북도 울릉군 울릉순환로 212-22 수협위판장,수협위판장,경상북도 울릉군 울릉순환로 212-22,37.5217669,130.9095328,차량단독
경상북도 울릉군 도동2길 23 도동주차장 옆 노상,도동주차장 옆 노상,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차대차
경상북도 울릉군 도동2길 23 도동주차장 옆 노상,도동주차장 옆 노상,경상북도 울릉군 도동2길 23,37.4838913,130.9061709,차대차
경상북도 울릉군 행남길 21 등기소 주차장,등기소 주차장,경상북도 울릉군 행남길 21,37.4848764,130.9060771,차대차
경상북도 울릉군 행남길 21 등기소 주차장,등기소 주차장,경상북도 울릉군 행남길 21,37.4848764,130.9060771,차대차
경상북도 울릉군 도동4길 10 체육관 주차장,체육관 주차장,경상북도 울릉군 도동4길 10,37.4834369,130.9047589,차대차
경상북도 울릉군 도동4길 10 체육관 주차장,체육관 주차장,경상북도 울릉군 도동4길 10,37.4834369,130.9047589,차대차
경상북도 울릉군 울릉순환로 558 울릉약소 앞,울릉약소 앞,경상북도 울릉군 울릉순환로 558,37.4652336,130.8394194,차대사람
경상북도 울릉군 울릉순환로 558 울릉약소 앞,울릉약소 앞,경상북도 울릉군 울릉순환로 558,37.4652336,130.8394194,차대사람
